,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,pres_raw_county_vote_totals_two_party
36331,2020.0,21035.0,G,PRES,Republican President Re-election,5797.0,11352.0,17149.0
36366,2004.0,21037.0,G,PRES,Republican President Re-election,14253.0,25540.0,39793.0
36367,2008.0,21037.0,G,PRES,Open Seat,15622.0,24046.0,39668.0
36368,2012.0,21037.0,G,PRES,Democratic President Re-election,15080.0,24240.0,39320.0
36369,2016.0,21037.0,G,PRES,Open Seat,14658.0,25050.0,39708.0
36370,2020.0,21037.0,G,PRES,Republican President Re-election,19374.0,28482.0,47856.0
36400,2004.0,21039.0,G,PRES,Republican President Re-election,1102.0,1734.0,2836.0
36401,2008.0,21039.0,G,PRES,Open Seat,879.0,1699.0,2578.0
36402,2012.0,21039.0,G,PRES,Democratic President Re-election,750.0,1835.0,2585.0
36403,2016.0,21039.0,G,PRES,Open Seat,432.0,2094.0,2526.0
36404,2020.0,21039.0,G,PRES,Republican President Re-election,463.0,2159.0,2622.0
36439,2004.0,21041.0,G,PRES,Republican President Re-election,1688.0,2175.0,3863.0
36440,2008.0,21041.0,G,PRES,Open Seat,1716.0,2032.0,3748.0
36441,2012.0,21041.0,G,PRES,Democratic President Re-election,1629.0,1999.0,3628.0
36442,2016.0,21041.0,G,PRES,Open Seat,1106.0,2588.0,3694.0
36443,2020.0,21041.0,G,PRES,Republican President Re-election,1116.0,2954.0,4070.0
36478,2004.0,21043.0,G,PRES,Republican President Re-election,5577.0,5422.0,10999.0
36479,2008.0,21043.0,G,PRES,Open Seat,4316.0,5252.0,9568.0
36480,2012.0,21043.0,G,PRES,Democratic President Re-election,3383.0,5279.0,8662.0
36481,2016.0,21043.0,G,PRES,Open Seat,2276.0,7587.0,9863.0
36482,2020.0,21043.0,G,PRES,Republican President Re-election,2642.0,8775.0,11417.0
36517,2004.0,21045.0,G,PRES,Republican President Re-election,1174.0,5109.0,6283.0
36518,2008.0,21045.0,G,PRES,Open Seat,1219.0,4679.0,5898.0
36519,2012.0,21045.0,G,PRES,Democratic President Re-election,1086.0,4904.0,5990.0
36520,2016.0,21045.0,G,PRES,Open Seat,767.0,5482.0,6249.0
36521,2020.0,21045.0,G,PRES,Republican President Re-election,918.0,6179.0,7097.0
36556,2004.0,21047.0,G,PRES,Republican President Re-election,6970.0,13935.0,20905.0
36557,2008.0,21047.0,G,PRES,Open Seat,8880.0,13699.0,22579.0
36558,2012.0,21047.0,G,PRES,Democratic President Re-election,8252.0,13475.0,21727.0
36559,2016.0,21047.0,G,PRES,Open Seat,7188.0,14108.0,21296.0
36560,2020.0,21047.0,G,PRES,Republican President Re-election,8296.0,15080.0,23376.0
36595,2004.0,21049.0,G,PRES,Republican President Re-election,5661.0,9540.0,15201.0
36596,2008.0,21049.0,G,PRES,Open Seat,5749.0,9664.0,15413.0
36597,2012.0,21049.0,G,PRES,Democratic President Re-election,5228.0,9931.0,15159.0
36598,2016.0,21049.0,G,PRES,Open Seat,4706.0,10710.0,15416.0
36599,2020.0,21049.0,G,PRES,Republican President Re-election,6004.0,11811.0,17815.0
36634,2004.0,21051.0,G,PRES,Republican President Re-election,1901.0,5726.0,7627.0
36635,2008.0,21051.0,G,PRES,Open Seat,1552.0,5710.0,7262.0
36636,2012.0,21051.0,G,PRES,Democratic President Re-election,1111.0,6176.0,7287.0
36637,2016.0,21051.0,G,PRES,Open Seat,752.0,5861.0,6613.0
36638,2020.0,21051.0,G,PRES,Republican President Re-election,831.0,6677.0,7508.0
36673,2004.0,21053.0,G,PRES,Republican President Re-election,952.0,3369.0,4321.0
36674,2008.0,21053.0,G,PRES,Open Seat,761.0,3366.0,4127.0
36675,2012.0,21053.0,G,PRES,Democratic President Re-election,752.0,3569.0,4321.0
36676,2016.0,21053.0,G,PRES,Open Seat,547.0,3809.0,4356.0
36677,2020.0,21053.0,G,PRES,Republican President Re-election,603.0,4280.0,4883.0
36712,2004.0,21055.0,G,PRES,Republican President Re-election,1438.0,2726.0,4164.0
36713,2008.0,21055.0,G,PRES,Open Seat,1254.0,2604.0,3858.0
36714,2012.0,21055.0,G,PRES,Democratic President Re-election,960.0,2839.0,3799.0
36715,2016.0,21055.0,G,PRES,Open Seat,617.0,3290.0,3907.0
36716,2020.0,21055.0,G,PRES,Republican President Re-election,731.0,3451.0,4182.0
36751,2004.0,21057.0,G,PRES,Republican President Re-election,848.0,2356.0,3204.0
36752,2008.0,21057.0,G,PRES,Open Seat,697.0,2056.0,2753.0
36753,2012.0,21057.0,G,PRES,Democratic President Re-election,599.0,2216.0,2815.0
36754,2016.0,21057.0,G,PRES,Open Seat,459.0,2502.0,2961.0
36755,2020.0,21057.0,G,PRES,Republican President Re-election,508.0,2769.0,3277.0
36790,2004.0,21059.0,G,PRES,Republican President Re-election,15788.0,25372.0,41160.0
36791,2008.0,21059.0,G,PRES,Open Seat,19282.0,23692.0,42974.0
36792,2012.0,21059.0,G,PRES,Democratic President Re-election,16208.0,25092.0,41300.0
36793,2016.0,21059.0,G,PRES,Open Seat,14163.0,28907.0,43070.0
36794,2020.0,21059.0,G,PRES,Republican President Re-election,17286.0,31025.0,48311.0
36829,2004.0,21061.0,G,PRES,Republican President Re-election,1856.0,3595.0,5451.0
36830,2008.0,21061.0,G,PRES,Open Seat,1652.0,3562.0,5214.0
36831,2012.0,21061.0,G,PRES,Democratic President Re-election,1374.0,3232.0,4606.0
36832,2016.0,21061.0,G,PRES,Open Seat,979.0,4135.0,5114.0
36833,2020.0,21061.0,G,PRES,Republican President Re-election,1227.0,4828.0,6055.0
36867,2004.0,21063.0,G,PRES,Republican President Re-election,2064.0,871.0,2935.0
36868,2008.0,21063.0,G,PRES,Open Seat,1535.0,902.0,2437.0
36869,2012.0,21063.0,G,PRES,Democratic President Re-election,1186.0,1126.0,2312.0
36870,2016.0,21063.0,G,PRES,Open Seat,740.0,2000.0,2740.0
36871,2020.0,21063.0,G,PRES,Republican President Re-election,712.0,2246.0,2958.0
36906,2004.0,21065.0,G,PRES,Republican President Re-election,1907.0,3633.0,5540.0
36907,2008.0,21065.0,G,PRES,Open Seat,1555.0,3685.0,5240.0
36908,2012.0,21065.0,G,PRES,Democratic President Re-election,1356.0,3749.0,5105.0
36909,2016.0,21065.0,G,PRES,Open Seat,1108.0,4236.0,5344.0
36910,2020.0,21065.0,G,PRES,Republican President Re-election,1355.0,5100.0,6455.0
36945,2004.0,21067.0,G,PRES,Republican President Re-election,57994.0,66406.0,124400.0
36946,2008.0,21067.0,G,PRES,Open Seat,66042.0,59884.0,125926.0
36947,2012.0,21067.0,G,PRES,Democratic President Re-election,62080.0,60795.0,122875.0
36948,2016.0,21067.0,G,PRES,Open Seat,69778.0,56894.0,126672.0
36949,2020.0,21067.0,G,PRES,Republican President Re-election,90600.0,58860.0,149460.0
36984,2004.0,21069.0,G,PRES,Republican President Re-election,2406.0,3749.0,6155.0
36985,2008.0,21069.0,G,PRES,Open Seat,2279.0,3432.0,5711.0
36986,2012.0,21069.0,G,PRES,Democratic President Re-election,1911.0,3780.0,5691.0
36987,2016.0,21069.0,G,PRES,Open Seat,1348.0,4722.0,6070.0
36988,2020.0,21069.0,G,PRES,Republican President Re-election,1474.0,5534.0,7008.0
37023,2004.0,21071.0,G,PRES,Republican President Re-election,11132.0,6612.0,17744.0
37024,2008.0,21071.0,G,PRES,Open Seat,7530.0,7741.0,15271.0
37025,2012.0,21071.0,G,PRES,Democratic President Re-election,4733.0,9784.0,14517.0
37026,2016.0,21071.0,G,PRES,Open Seat,4015.0,11993.0,16008.0
37027,2020.0,21071.0,G,PRES,Republican President Re-election,3884.0,12250.0,16134.0
37062,2004.0,21073.0,G,PRES,Republican President Re-election,11620.0,12281.0,23901.0
37063,2008.0,21073.0,G,PRES,Open Seat,11767.0,11911.0,23678.0
37064,2012.0,21073.0,G,PRES,Democratic President Re-election,11535.0,11345.0,22880.0
37065,2016.0,21073.0,G,PRES,Open Seat,10717.0,11819.0,22536.0
37066,2020.0,21073.0,G,PRES,Republican President Re-election,12652.0,12900.0,25552.0
37101,2004.0,21075.0,G,PRES,Republican President Re-election,1340.0,1527.0,2867.0
37102,2008.0,21075.0,G,PRES,Open Seat,1238.0,1530.0,2768.0
37103,2012.0,21075.0,G,PRES,Democratic President Re-election,1022.0,1425.0,2447.0
37104,2016.0,21075.0,G,PRES,Open Seat,774.0,1549.0,2323.0
37105,2020.0,21075.0,G,PRES,Republican President Re-election,794.0,1606.0,2400.0
37140,2004.0,21077.0,G,PRES,Republican President Re-election,1188.0,1869.0,3057.0
37141,2008.0,21077.0,G,PRES,Open Seat,1278.0,1840.0,3118.0
37142,2012.0,21077.0,G,PRES,Democratic President Re-election,1238.0,1758.0,2996.0
37143,2016.0,21077.0,G,PRES,Open Seat,749.0,2443.0,3192.0
37144,2020.0,21077.0,G,PRES,Republican President Re-election,822.0,2955.0,3777.0
37179,2004.0,21079.0,G,PRES,Republican President Re-election,1841.0,4784.0,6625.0
37180,2008.0,21079.0,G,PRES,Open Seat,2012.0,5118.0,7130.0
37181,2012.0,21079.0,G,PRES,Democratic President Re-election,1661.0,5310.0,6971.0
37182,2016.0,21079.0,G,PRES,Open Seat,1453.0,5904.0,7357.0
37183,2020.0,21079.0,G,PRES,Republican President Re-election,1830.0,6754.0,8584.0
37218,2004.0,21081.0,G,PRES,Republican President Re-election,2818.0,5951.0,8769.0
37219,2008.0,21081.0,G,PRES,Open Seat,3112.0,5510.0,8622.0
37220,2012.0,21081.0,G,PRES,Democratic President Re-election,2810.0,5664.0,8474.0
37221,2016.0,21081.0,G,PRES,Open Seat,1910.0,7268.0,9178.0
37222,2020.0,21081.0,G,PRES,Republican President Re-election,2205.0,8725.0,10930.0
37257,2004.0,21083.0,G,PRES,Republican President Re-election,6206.0,9903.0,16109.0
37258,2008.0,21083.0,G,PRES,Open Seat,5843.0,10056.0,15899.0
37259,2012.0,21083.0,G,PRES,Democratic President Re-election,4547.0,10699.0,15246.0
37260,2016.0,21083.0,G,PRES,Open Seat,3308.0,12671.0,15979.0
37261,2020.0,21083.0,G,PRES,Republican President Re-election,3560.0,13206.0,16766.0
37296,2004.0,21085.0,G,PRES,Republican President Re-election,2905.0,7170.0,10075.0
37297,2008.0,21085.0,G,PRES,Open Seat,3154.0,6605.0,9759.0
37298,2012.0,21085.0,G,PRES,Democratic President Re-election,2744.0,6404.0,9148.0
37299,2016.0,21085.0,G,PRES,Open Seat,1959.0,8219.0,10178.0
37300,2020.0,21085.0,G,PRES,Republican President Re-election,2400.0,9453.0,11853.0
37335,2004.0,21087.0,G,PRES,Republican President Re-election,1312.0,3866.0,5178.0
37336,2008.0,21087.0,G,PRES,Open Seat,1204.0,3785.0,4989.0
37337,2012.0,21087.0,G,PRES,Democratic President Re-election,1165.0,3634.0,4799.0
37338,2016.0,21087.0,G,PRES,Open Seat,832.0,4372.0,5204.0
37339,2020.0,21087.0,G,PRES,Republican President Re-election,920.0,4838.0,5758.0
37374,2004.0,21089.0,G,PRES,Republican President Re-election,7630.0,8696.0,16326.0
37375,2008.0,21089.0,G,PRES,Open Seat,6621.0,8849.0,15470.0
37376,2012.0,21089.0,G,PRES,Democratic President Re-election,6027.0,8855.0,14882.0
37377,2016.0,21089.0,G,PRES,Open Seat,4146.0,11546.0,15692.0
37378,2020.0,21089.0,G,PRES,Republican President Re-election,4873.0,13064.0,17937.0
37413,2004.0,21091.0,G,PRES,Republican President Re-election,1709.0,2286.0,3995.0
37414,2008.0,21091.0,G,PRES,Open Seat,2135.0,1928.0,4063.0
37415,2012.0,21091.0,G,PRES,Democratic President Re-election,1833.0,2212.0,4045.0
37416,2016.0,21091.0,G,PRES,Open Seat,1244.0,2788.0,4032.0
37417,2020.0,21091.0,G,PRES,Republican President Re-election,1351.0,3145.0,4496.0
37452,2004.0,21093.0,G,PRES,Republican President Re-election,11507.0,24627.0,36134.0
37453,2008.0,21093.0,G,PRES,Open Seat,15650.0,23896.0,39546.0
37454,2012.0,21093.0,G,PRES,Democratic President Re-election,15214.0,23357.0,38571.0
37455,2016.0,21093.0,G,PRES,Open Seat,13944.0,26971.0,40915.0
37456,2020.0,21093.0,G,PRES,Republican President Re-election,18101.0,29832.0,47933.0
37491,2004.0,21095.0,G,PRES,Republican President Re-election,4332.0,6659.0,10991.0
37492,2008.0,21095.0,G,PRES,Open Seat,2586.0,7165.0,9751.0
37493,2012.0,21095.0,G,PRES,Democratic President Re-election,1830.0,8652.0,10482.0
37494,2016.0,21095.0,G,PRES,Open Seat,1372.0,9129.0,10501.0
37495,2020.0,21095.0,G,PRES,Republican President Re-election,1494.0,9367.0,10861.0
37530,2004.0,21097.0,G,PRES,Republican President Re-election,2807.0,4855.0,7662.0
37531,2008.0,21097.0,G,PRES,Open Seat,2916.0,4520.0,7436.0
37532,2012.0,21097.0,G,PRES,Democratic President Re-election,2471.0,4556.0,7027.0
37533,2016.0,21097.0,G,PRES,Open Seat,2031.0,5435.0,7466.0
37534,2020.0,21097.0,G,PRES,Republican President Re-election,2400.0,6334.0,8734.0
37569,2004.0,21099.0,G,PRES,Republican President Re-election,2470.0,4269.0,6739.0
37570,2008.0,21099.0,G,PRES,Open Seat,2290.0,4397.0,6687.0
37571,2012.0,21099.0,G,PRES,Democratic President Re-election,2283.0,4257.0,6540.0
37572,2016.0,21099.0,G,PRES,Open Seat,1730.0,5320.0,7050.0
37573,2020.0,21099.0,G,PRES,Republican President Re-election,1908.0,6345.0,8253.0
37608,2004.0,21101.0,G,PRES,Republican President Re-election,8101.0,10467.0,18568.0
37609,2008.0,21101.0,G,PRES,Open Seat,10049.0,9523.0,19572.0
37610,2012.0,21101.0,G,PRES,Democratic President Re-election,8091.0,10296.0,18387.0
37611,2016.0,21101.0,G,PRES,Open Seat,6707.0,12159.0,18866.0
37612,2020.0,21101.0,G,PRES,Republican President Re-election,7639.0,12730.0,20369.0
37647,2004.0,21103.0,G,PRES,Republican President Re-election,2366.0,4094.0,6460.0
37648,2008.0,21103.0,G,PRES,Open Seat,2725.0,4081.0,6806.0
37649,2012.0,21103.0,G,PRES,Democratic President Re-election,2530.0,3940.0,6470.0
37650,2016.0,21103.0,G,PRES,Open Seat,1828.0,4944.0,6772.0
37651,2020.0,21103.0,G,PRES,Republican President Re-election,2142.0,5843.0,7985.0
37686,2004.0,21105.0,G,PRES,Republican President Re-election,926.0,1395.0,2321.0
37687,2008.0,21105.0,G,PRES,Open Seat,812.0,1406.0,2218.0
37688,2012.0,21105.0,G,PRES,Democratic President Re-election,686.0,1431.0,2117.0
37689,2016.0,21105.0,G,PRES,Open Seat,449.0,1657.0,2106.0
37690,2020.0,21105.0,G,PRES,Republican President Re-election,458.0,1714.0,2172.0
37725,2004.0,21107.0,G,PRES,Republican President Re-election,6420.0,12314.0,18734.0
37726,2008.0,21107.0,G,PRES,Open Seat,7104.0,11916.0,19020.0
37727,2012.0,21107.0,G,PRES,Democratic President Re-election,5789.0,13681.0,19470.0
37728,2016.0,21107.0,G,PRES,Open Seat,4310.0,15277.0,19587.0
37729,2020.0,21107.0,G,PRES,Republican President Re-election,5439.0,15757.0,21196.0
37764,2004.0,21109.0,G,PRES,Republican President Re-election,769.0,4369.0,5138.0
37765,2008.0,21109.0,G,PRES,Open Seat,743.0,4407.0,5150.0
37766,2012.0,21109.0,G,PRES,Democratic President Re-election,612.0,4365.0,4977.0
37767,2016.0,21109.0,G,PRES,Open Seat,482.0,4889.0,5371.0
37768,2020.0,21109.0,G,PRES,Republican President Re-election,605.0,5453.0,6058.0
37803,2004.0,21111.0,G,PRES,Republican President Re-election,170158.0,164566.0,334724.0
37804,2008.0,21111.0,G,PRES,Open Seat,196435.0,153957.0,350392.0
37805,2012.0,21111.0,G,PRES,Democratic President Re-election,186181.0,148423.0,334604.0
37806,2016.0,21111.0,G,PRES,Open Seat,190836.0,143768.0,334604.0
37807,2020.0,21111.0,G,PRES,Republican President Re-election,228358.0,150646.0,379004.0
37842,2004.0,21113.0,G,PRES,Republican President Re-election,5476.0,12972.0,18448.0
37843,2008.0,21113.0,G,PRES,Open Seat,6236.0,13711.0,19947.0
37844,2012.0,21113.0,G,PRES,Democratic President Re-election,6001.0,14233.0,20234.0
37845,2016.0,21113.0,G,PRES,Open Seat,6144.0,15474.0,21618.0
37846,2020.0,21113.0,G,PRES,Republican President Re-election,8567.0,17096.0,25663.0
37881,2004.0,21115.0,G,PRES,Republican President Re-election,3288.0,5940.0,9228.0
37882,2008.0,21115.0,G,PRES,Open Seat,2407.0,5948.0,8355.0
37883,2012.0,21115.0,G,PRES,Democratic President Re-election,1723.0,7095.0,8818.0
37884,2016.0,21115.0,G,PRES,Open Seat,1250.0,8043.0,9293.0
37885,2020.0,21115.0,G,PRES,Republican President Re-election,1608.0,8450.0,10058.0
37920,2004.0,21117.0,G,PRES,Republican President Re-election,22834.0,43664.0,66498.0
37921,2008.0,21117.0,G,PRES,Open Seat,26480.0,40714.0,67194.0
37922,2012.0,21117.0,G,PRES,Democratic President Re-election,24920.0,41389.0,66309.0
37923,2016.0,21117.0,G,PRES,Open Seat,24214.0,42958.0,67172.0
37924,2020.0,21117.0,G,PRES,Republican President Re-election,32271.0,48129.0,80400.0
37955,2004.0,21119.0,G,PRES,Republican President Re-election,4685.0,2648.0,7333.0
37956,2008.0,21119.0,G,PRES,Open Seat,2612.0,3070.0,5682.0
37957,2012.0,21119.0,G,PRES,Democratic President Re-election,1420.0,4130.0,5550.0
37958,2016.0,21119.0,G,PRES,Open Seat,1245.0,4357.0,5602.0
37959,2020.0,21119.0,G,PRES,Republican President Re-election,1412.0,4780.0,6192.0
37994,2004.0,21121.0,G,PRES,Republican President Re-election,3822.0,8108.0,11930.0
37995,2008.0,21121.0,G,PRES,Open Seat,3074.0,8150.0,11224.0
37996,2012.0,21121.0,G,PRES,Democratic President Re-election,2484.0,8467.0,10951.0
37997,2016.0,21121.0,G,PRES,Open Seat,1761.0,9885.0,11646.0
37998,2020.0,21121.0,G,PRES,Republican President Re-election,2114.0,11012.0,13126.0
38033,2004.0,21123.0,G,PRES,Republican President Re-election,1823.0,4111.0,5934.0
38034,2008.0,21123.0,G,PRES,Open Seat,1913.0,4153.0,6066.0
38035,2012.0,21123.0,G,PRES,Democratic President Re-election,1733.0,3911.0,5644.0
38036,2016.0,21123.0,G,PRES,Open Seat,1278.0,4799.0,6077.0
38037,2020.0,21123.0,G,PRES,Republican President Re-election,1504.0,5685.0,7189.0
38072,2004.0,21125.0,G,PRES,Republican President Re-election,5297.0,16819.0,22116.0
38073,2008.0,21125.0,G,PRES,Open Seat,4618.0,17660.0,22278.0
38074,2012.0,21125.0,G,PRES,Democratic President Re-election,3905.0,18151.0,22056.0
38075,2016.0,21125.0,G,PRES,Open Seat,3440.0,20592.0,24032.0
38076,2020.0,21125.0,G,PRES,Republican President Re-election,4475.0,23237.0,27712.0
38111,2004.0,21127.0,G,PRES,Republican President Re-election,2705.0,3755.0,6460.0
38112,2008.0,21127.0,G,PRES,Open Seat,2036.0,3503.0,5539.0
38113,2012.0,21127.0,G,PRES,Democratic President Re-election,1520.0,3995.0,5515.0
38114,2016.0,21127.0,G,PRES,Open Seat,1045.0,4816.0,5861.0
38115,2020.0,21127.0,G,PRES,Republican President Re-election,1238.0,5633.0,6871.0
38149,2004.0,21129.0,G,PRES,Republican President Re-election,878.0,2018.0,2896.0
38150,2008.0,21129.0,G,PRES,Open Seat,752.0,1978.0,2730.0
38151,2012.0,21129.0,G,PRES,Democratic President Re-election,595.0,1977.0,2572.0
38152,2016.0,21129.0,G,PRES,Open Seat,444.0,2151.0,2595.0
38153,2020.0,21129.0,G,PRES,Republican President Re-election,481.0,2273.0,2754.0
38185,2004.0,21131.0,G,PRES,Republican President Re-election,1266.0,3661.0,4927.0
38186,2008.0,21131.0,G,PRES,Open Seat,766.0,3574.0,4340.0
38187,2012.0,21131.0,G,PRES,Democratic President Re-election,433.0,4439.0,4872.0
38188,2016.0,21131.0,G,PRES,Open Seat,400.0,4015.0,4415.0
38189,2020.0,21131.0,G,PRES,Republican President Re-election,446.0,4321.0,4767.0
38224,2004.0,21133.0,G,PRES,Republican President Re-election,4192.0,4801.0,8993.0
38225,2008.0,21133.0,G,PRES,Open Seat,2623.0,5367.0,7990.0
38226,2012.0,21133.0,G,PRES,Democratic President Re-election,1702.0,6811.0,8513.0
38227,2016.0,21133.0,G,PRES,Open Seat,1542.0,7293.0,8835.0
38228,2020.0,21133.0,G,PRES,Republican President Re-election,1799.0,7226.0,9025.0
38263,2004.0,21135.0,G,PRES,Republican President Re-election,1667.0,3778.0,5445.0
38264,2008.0,21135.0,G,PRES,Open Seat,1510.0,3213.0,4723.0
38265,2012.0,21135.0,G,PRES,Democratic President Re-election,1342.0,3326.0,4668.0
38266,2016.0,21135.0,G,PRES,Open Seat,785.0,4363.0,5148.0
38267,2020.0,21135.0,G,PRES,Republican President Re-election,823.0,4986.0,5809.0
38302,2004.0,21137.0,G,PRES,Republican President Re-election,2796.0,5996.0,8792.0
38303,2008.0,21137.0,G,PRES,Open Seat,2752.0,6273.0,9025.0
38304,2012.0,21137.0,G,PRES,Democratic President Re-election,2582.0,6416.0,8998.0
38305,2016.0,21137.0,G,PRES,Open Seat,1865.0,7338.0,9203.0
38306,2020.0,21137.0,G,PRES,Republican President Re-election,2254.0,8489.0,10743.0
38341,2004.0,21139.0,G,PRES,Republican President Re-election,2007.0,2675.0,4682.0
38342,2008.0,21139.0,G,PRES,Open Seat,1622.0,2890.0,4512.0
38343,2012.0,21139.0,G,PRES,Democratic President Re-election,1346.0,3089.0,4435.0
38344,2016.0,21139.0,G,PRES,Open Seat,887.0,3570.0,4457.0
38345,2020.0,21139.0,G,PRES,Republican President Re-election,939.0,4010.0,4949.0
38380,2004.0,21141.0,G,PRES,Republican President Re-election,3768.0,6815.0,10583.0
38381,2008.0,21141.0,G,PRES,Open Seat,3811.0,6925.0,10736.0
38382,2012.0,21141.0,G,PRES,Democratic President Re-election,3469.0,6899.0,10368.0
38383,2016.0,21141.0,G,PRES,Open Seat,2755.0,7778.0,10533.0
38384,2020.0,21141.0,G,PRES,Republican President Re-election,3094.0,9067.0,12161.0
38419,2004.0,21143.0,G,PRES,Republican President Re-election,1769.0,2132.0,3901.0
38420,2008.0,21143.0,G,PRES,Open Seat,1577.0,2220.0,3797.0
38421,2012.0,21143.0,G,PRES,Democratic President Re-election,1373.0,2412.0,3785.0
38422,2016.0,21143.0,G,PRES,Open Seat,1045.0,2789.0,3834.0
38423,2020.0,21143.0,G,PRES,Republican President Re-election,1092.0,3100.0,4192.0
38458,2004.0,21145.0,G,PRES,Republican President Re-election,11361.0,18218.0,29579.0
38459,2008.0,21145.0,G,PRES,Open Seat,11285.0,19043.0,30328.0
38460,2012.0,21145.0,G,PRES,Democratic President Re-election,10062.0,19979.0,30041.0
38461,2016.0,21145.0,G,PRES,Open Seat,9134.0,20774.0,29908.0
38462,2020.0,21145.0,G,PRES,Republican President Re-election,11195.0,21820.0,33015.0
38486,2004.0,21147.0,G,PRES,Republican President Re-election,1530.0,4121.0,5651.0
38487,2008.0,21147.0,G,PRES,Open Seat,1258.0,4078.0,5336.0
38488,2012.0,21147.0,G,PRES,Democratic President Re-election,1069.0,4564.0,5633.0
38489,2016.0,21147.0,G,PRES,Open Seat,664.0,5012.0,5676.0
38490,2020.0,21147.0,G,PRES,Republican President Re-election,725.0,5664.0,6389.0
38525,2004.0,21149.0,G,PRES,Republican President Re-election,1823.0,2584.0,4407.0
38526,2008.0,21149.0,G,PRES,Open Seat,1963.0,2386.0,4349.0
38527,2012.0,21149.0,G,PRES,Democratic President Re-election,1432.0,2705.0,4137.0
38528,2016.0,21149.0,G,PRES,Open Seat,988.0,3381.0,4369.0
38529,2020.0,21149.0,G,PRES,Republican President Re-election,1074.0,3633.0,4707.0
38564,2004.0,21151.0,G,PRES,Republican President Re-election,11525.0,18922.0,30447.0
38565,2008.0,21151.0,G,PRES,Open Seat,12392.0,19694.0,32086.0
38566,2012.0,21151.0,G,PRES,Democratic President Re-election,11512.0,21128.0,32640.0
38567,2016.0,21151.0,G,PRES,Open Seat,11793.0,23431.0,35224.0
38568,2020.0,21151.0,G,PRES,Republican President Re-election,15581.0,27356.0,42937.0
38603,2004.0,21153.0,G,PRES,Republican President Re-election,2843.0,2836.0,5679.0
38604,2008.0,21153.0,G,PRES,Open Seat,2105.0,2434.0,4539.0
38605,2012.0,21153.0,G,PRES,Democratic President Re-election,1433.0,3391.0,4824.0
38606,2016.0,21153.0,G,PRES,Open Seat,1172.0,3824.0,4996.0
38607,2020.0,21153.0,G,PRES,Republican President Re-election,1214.0,4174.0,5388.0
38642,2004.0,21155.0,G,PRES,Republican President Re-election,3399.0,3905.0,7304.0
38643,2008.0,21155.0,G,PRES,Open Seat,3596.0,3842.0,7438.0
38644,2012.0,21155.0,G,PRES,Democratic President Re-election,3418.0,3800.0,7218.0
38645,2016.0,21155.0,G,PRES,Open Seat,2679.0,5122.0,7801.0
38646,2020.0,21155.0,G,PRES,Republican President Re-election,2722.0,6113.0,8835.0
38681,2004.0,21157.0,G,PRES,Republican President Re-election,6383.0,9049.0,15432.0
38682,2008.0,21157.0,G,PRES,Open Seat,5683.0,9512.0,15195.0
38683,2012.0,21157.0,G,PRES,Democratic President Re-election,5022.0,10402.0,15424.0
38684,2016.0,21157.0,G,PRES,Open Seat,3672.0,12322.0,15994.0
38685,2020.0,21157.0,G,PRES,Republican President Re-election,4071.0,13297.0,17368.0
38719,2004.0,21159.0,G,PRES,Republican President Re-election,1504.0,2996.0,4500.0
38720,2008.0,21159.0,G,PRES,Open Seat,808.0,2824.0,3632.0
38721,2012.0,21159.0,G,PRES,Democratic President Re-election,574.0,3180.0,3754.0
38722,2016.0,21159.0,G,PRES,Open Seat,363.0,3503.0,3866.0
38723,2020.0,21159.0,G,PRES,Republican President Re-election,403.0,3496.0,3899.0
38758,2004.0,21161.0,G,PRES,Republican President Re-election,2644.0,4381.0,7025.0
38759,2008.0,21161.0,G,PRES,Open Seat,2891.0,4102.0,6993.0
38760,2012.0,21161.0,G,PRES,Democratic President Re-election,2592.0,4197.0,6789.0
38761,2016.0,21161.0,G,PRES,Open Seat,1970.0,4944.0,6914.0
38762,2020.0,21161.0,G,PRES,Republican President Re-election,2362.0,5477.0,7839.0
38797,2004.0,21163.0,G,PRES,Republican President Re-election,3724.0,7152.0,10876.0
38798,2008.0,21163.0,G,PRES,Open Seat,4343.0,6691.0,11034.0
38799,2012.0,21163.0,G,PRES,Democratic President Re-election,4122.0,6606.0,10728.0
38800,2016.0,21163.0,G,PRES,Open Seat,3026.0,8660.0,11686.0
38801,2020.0,21163.0,G,PRES,Republican President Re-election,3632.0,10185.0,13817.0
38835,2004.0,21165.0,G,PRES,Republican President Re-election,1284.0,1215.0,2499.0
38836,2008.0,21165.0,G,PRES,Open Seat,1276.0,1155.0,2431.0
38837,2012.0,21165.0,G,PRES,Democratic President Re-election,1048.0,1484.0,2532.0
38838,2016.0,21165.0,G,PRES,Open Seat,700.0,2010.0,2710.0
38839,2020.0,21165.0,G,PRES,Republican President Re-election,750.0,2311.0,3061.0
38874,2004.0,21167.0,G,PRES,Republican President Re-election,3224.0,6745.0,9969.0
38875,2008.0,21167.0,G,PRES,Open Seat,3159.0,6781.0,9940.0
38876,2012.0,21167.0,G,PRES,Democratic President Re-election,2966.0,6820.0,9786.0
38877,2016.0,21167.0,G,PRES,Open Seat,2395.0,7740.0,10135.0
38878,2020.0,21167.0,G,PRES,Republican President Re-election,3033.0,8506.0,11539.0
38913,2004.0,21169.0,G,PRES,Republican President Re-election,1472.0,2645.0,4117.0
38914,2008.0,21169.0,G,PRES,Open Seat,1350.0,2734.0,4084.0
